movieId,title,genres,encoding
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,[0. 1. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0.]
34,Babe (1995),Children|Drama,[0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0.]
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0.]
110,Braveheart (1995),Action|Drama|War,[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
111,Taxi Driver (1976),Crime|Drama|Thriller,[0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
150,Apollo 13 (1995),Adventure|Drama,[0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,[1. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,[0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,[1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,[0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
316,Stargate (1994),Action|Adventure|Sci-Fi,[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
318,"Shawshank Redemption, The (1994)",Crime|Drama,[0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
344,Ace Ventura: Pet Detective (1994),Comedy,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
356,Forrest Gump (1994),Comedy|Drama|Romance|War,[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0.]
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical,[0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,[1. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
377,Speed (1994),Action|Romance|Thriller,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0.]
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,[1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0.]
457,"Fugitive, The (1993)",Thriller,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.]
500,Mrs. Doubtfire (1993),Comedy|Drama,[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
527,Schindler's List (1993),Drama|War,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
541,Blade Runner (1982),Action|Sci-Fi|Thriller,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.]
586,Home Alone (1990),Children|Comedy,[0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller,[0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0.]
588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,[0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
590,Dances with Wolves (1990),Adventure|Drama|Western,[0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
592,Batman (1989),Action|Crime|Thriller,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
