userId,encoding
3,"[1216.   730.5  199.   178.   608.   513.     9.5  902.5  291.5   21.5
  159.5   21.5  233.5  212.   828.   882.5   96.    30. ]"
12,"[ 362.5  389.   119.   209.5 1234.5  310.5   51.5 1212.5  204.5   15.
  132.5  130.5  131.   560.5  205.5  385.    86.    15.5]"
72,"[ 480.  355.   84.  175. 1155.  409.   12. 1282.  237.   46.  286.  146.
  199.  629.  304.  650.  120.   51.]"
80,"[551. 260.  15.  27. 389. 380.   9. 510.  66.   0. 135.  13. 124. 159.
 187. 565.  28.  27.]"
120,"[ 568.  494.  110.  187. 1129.  401.   88. 1269.  192.   21.  116.  108.
  169.  555.  319.  542.  142.   30.]"
166,"[ 454.  333.   49.  143.  914.  267.    2. 1145.  168.   47.   44.  150.
  145.  782.  173.  418.  118.   57.]"
171,"[ 728.5  546.5  116.   149.  1067.5  626.5   63.5 1431.5  256.5   25.5
  158.    74.5  259.   461.   329.   788.5  167.    49.5]"
175,"[ 316.  184.   52.   94.  789.  271.   16. 1067.  107.    9.  101.   50.
  104.  493.  148.  444.   82.   31.]"
181,"[422.5 235.   13.   12.  331.5 228.    6.5 446.5 103.   12.  324.5   6.5
 142.5  92.5 318.  441.   29.5  22.5]"
187,"[1598.  1121.   400.5  473.  2163.   777.   143.5 1842.   725.    15.
  925.5  106.   491.5  541.5 1062.  1938.   132.5   40.5]"
226,"[256.  172.   37.5  47.5 609.5 281.5  33.5 797.   92.    3.5  82.5  31.
 105.  297.  111.5 399.   51.5  17.5]"
243,"[591.5 433.  102.   78.  685.  353.5   1.5 835.5 222.5  21.  101.   56.5
 155.  345.  326.  512.   67.5  14.5]"
285,"[ 448.  279.   31.   89.  439.  386.   17. 1111.  129.   21.  150.   54.
  217.  354.  196.  625.  174.   52.]"
321,"[958.5 584.  109.  117.5 739.  458.   38.5 883.  245.5  24.  529.   49.5
 171.  175.5 526.  842.   76.   62. ]"
357,"[ 403.   318.   109.5  125.   630.5  291.    47.  1116.5  134.5   22.
  222.    39.5  197.5  501.5  283.   634.5   68.5    3. ]"
426,"[ 704.5  380.5   55.    86.5  669.5  656.   131.  1891.   142.    34.
  194.5   72.   272.   355.5  276.   916.   226.5   74. ]"
431,"[531.  360.   67.5  97.5 530.  282.   29.  649.  142.    6.5  93.5  56.5
 115.  218.5 220.  405.  156.   71.5]"
440,"[451.5 384.5 151.  110.  654.  344.   54.5 890.  210.5  29.  150.   87.5
 192.  363.5 288.5 451.5  97.   14.5]"
446,"[452. 361.  53.  83. 737. 262.  19. 665. 184.  24. 264.  35. 142. 223.
 285. 461.  60.  39.]"
